ut	date	source	item_name	item_category	item_subcategory	unit_name	units	price	price_per_si_unit
1628645176	2021-08-11	cargills	Anchor Basmati Rice	rice	Basmati	kg	5.0	2950.0	590.0
1628645176	2021-08-11	cargills	Daawat Super Basmati Rice	rice	Basmati	kg	1.0	820.0	820.0
1628645176	2021-08-11	cargills	Anchor Basmati Rice	rice	Basmati	kg	2.0	1250.0	625.0
1628645176	2021-08-11	cargills	India Gate Exotic Basmati Rice	rice	Basmati	kg	1.0	860.0	860.0
1628645176	2021-08-11	cargills	Golden Crop Red Suduru Rice	rice	Suduru	kg	5.0	1300.0	260.0
1628645176	2021-08-11	cargills	India Gate Excel Basmati Rice	rice	Basmati	kg	1.0	895.0	895.0
1628645176	2021-08-11	cargills	Ariya Pure Basmati Rice	rice	Basmati	kg	5.0	2970.0	594.0
1628645176	2021-08-11	cargills	India Gate Exotic Basmati Rice	rice	Basmati	kg	5.0	4050.0	810.0
1628645176	2021-08-11	cargills	India Gate Excel Basmati Rice	rice	Basmati	kg	5.0	4300.0	860.0
1628645176	2021-08-11	cargills	Tilda Premium Basmati Rice	rice	Basmati	kg	5.0	4300.0	860.0
1628645176	2021-08-11	cargills	Tilda Premium Basmati Rice	rice	Basmati	kg	1.0	870.0	870.0
